investor_id,agent_id,investor_type,country_code,kyc_status,risk_rating
1,3,Individual,IN,Approved,High
2,2,Individual,IN,Approved,Low
3,3,Individual,GB,Approved,High
4,3,Individual,GB,Approved,Medium
5,1,Individual,IN,Approved,Low
6,1,Trust,GB,Approved,Low
7,3,Individual,GB,Approved,High
8,3,Trust,AU,Approved,Low
9,2,Trust,AU,Approved,Low
10,1,Trust,AU,Approved,Medium
11,2,Individual,IN,Approved,Medium
12,1,Individual,AU,Approved,Low
13,2,Corporate,GB,Approved,Medium
14,1,Trust,AU,Approved,High
15,1,Corporate,IN,Approved,High
16,2,Trust,GB,Approved,Medium
17,3,Individual,GB,Approved,Low
18,1,Trust,IN,Approved,Medium
19,1,Individual,IN,Approved,Medium
20,2,Corporate,GB,Approved,Medium
21,1,Corporate,AU,Approved,Low
22,3,Corporate,GB,Approved,High
23,3,Individual,GB,Approved,High
24,1,Trust,GB,Approved,Low
25,1,Corporate,AU,Approved,Medium
26,3,Trust,GB,Approved,Low
27,3,Corporate,IN,Approved,Low
28,1,Corporate,AU,Approved,Medium
29,1,Individual,GB,Approved,High
30,2,Individual,GB,Approved,Medium
31,2,Trust,AU,Approved,Low
32,2,Individual,IN,Approved,High
33,3,Trust,AU,Approved,High
34,3,Corporate,GB,Approved,Medium
35,2,Individual,IN,Approved,High
36,2,Individual,IN,Approved,Low
37,1,Trust,IN,Approved,High
38,2,Trust,IN,Approved,Medium
39,2,Trust,AU,Approved,High
40,2,Trust,IN,Approved,High
41,3,Individual,GB,Approved,High
42,2,Trust,AU,Approved,Low
43,2,Corporate,IN,Approved,Medium
44,1,Trust,GB,Approved,Medium
45,3,Individual,GB,Approved,Low
46,3,Corporate,GB,Approved,High
47,3,Individual,IN,Approved,Medium
48,1,Trust,GB,Approved,Low
49,3,Corporate,AU,Approved,Low
50,1,Corporate,AU,Approved,Low
