commission_date,agent_id,fund_id,commission_type,currency_code,commission_amount
2026-01-01,1,2,TRAIL,USD,32.27
2026-01-01,1,3,TRAIL,USD,144.92
2026-01-01,2,3,TRAIL,USD,366.36
2026-01-01,3,1,TRAIL,USD,58.62
2026-01-01,3,2,TRAIL,USD,120.08
2026-01-01,3,3,TRAIL,USD,264.3
2026-01-02,1,2,TRAIL,USD,82.4
2026-01-02,1,3,TRAIL,USD,45.93
2026-01-02,2,1,TRAIL,USD,212.94
2026-01-02,2,2,TRAIL,USD,27.84
2026-01-02,3,1,TRAIL,USD,115.14
2026-01-02,3,2,TRAIL,USD,119.02
2026-01-02,3,3,TRAIL,USD,96.7
2026-01-03,1,1,TRAIL,USD,239.18
2026-01-03,1,3,TRAIL,USD,291.45
2026-01-03,2,1,TRAIL,USD,72.61
2026-01-03,2,3,TRAIL,USD,347.07
2026-01-03,3,1,TRAIL,USD,147.82
2026-01-03,3,2,TRAIL,USD,199.57
2026-01-03,3,3,TRAIL,USD,210.77
2026-01-04,1,1,TRAIL,USD,276.25
2026-01-04,1,2,TRAIL,USD,17.59
2026-01-04,1,3,TRAIL,USD,369.34
2026-01-04,2,1,TRAIL,USD,145.14
2026-01-04,2,3,TRAIL,USD,92.62
2026-01-04,3,1,TRAIL,USD,80.08
2026-01-04,3,2,TRAIL,USD,8.01
2026-01-04,3,3,TRAIL,USD,92.13
2026-01-05,1,1,TRAIL,USD,63.6
2026-01-05,1,2,TRAIL,USD,5.67
2026-01-05,1,3,TRAIL,USD,129.36
2026-01-05,2,1,TRAIL,USD,182.42
2026-01-05,2,3,TRAIL,USD,229.44
2026-01-05,3,1,TRAIL,USD,120.63
2026-01-05,3,2,TRAIL,USD,96.12
2026-01-05,3,3,TRAIL,USD,213.4
2026-01-06,1,2,TRAIL,USD,725.51
2026-01-06,1,3,TRAIL,USD,82.37
2026-01-06,2,2,TRAIL,USD,245.29
2026-01-06,2,3,TRAIL,USD,117.36
2026-01-06,3,1,TRAIL,USD,238.21
2026-01-06,3,2,TRAIL,USD,487.18
2026-01-06,3,3,TRAIL,USD,144.25
2026-01-07,1,1,TRAIL,USD,106.47
2026-01-07,1,2,TRAIL,USD,449.3
2026-01-07,2,1,TRAIL,USD,202.4
2026-01-07,2,2,TRAIL,USD,30.95
2026-01-07,2,3,TRAIL,USD,271.49
2026-01-07,3,1,TRAIL,USD,237.71
2026-01-07,3,2,TRAIL,USD,130.93
2026-01-07,3,3,TRAIL,USD,92.03
2026-01-08,1,1,TRAIL,USD,145.95
2026-01-08,1,2,TRAIL,USD,280.84
2026-01-08,1,3,TRAIL,USD,101.02
2026-01-08,2,1,TRAIL,USD,341.51
2026-01-08,2,2,TRAIL,USD,185.34
2026-01-08,2,3,TRAIL,USD,273.2
2026-01-08,3,1,TRAIL,USD,45.3
2026-01-08,3,2,TRAIL,USD,85.89
2026-01-08,3,3,TRAIL,USD,46.33
2026-01-09,1,1,TRAIL,USD,6.79
2026-01-09,1,3,TRAIL,USD,301.14
2026-01-09,2,1,TRAIL,USD,196.87
2026-01-09,2,2,TRAIL,USD,70.02
2026-01-09,2,3,TRAIL,USD,19.9
2026-01-09,3,1,TRAIL,USD,159.52
2026-01-10,1,1,TRAIL,USD,439.17
2026-01-10,1,2,TRAIL,USD,102.3
2026-01-10,1,3,TRAIL,USD,128.94
2026-01-10,2,2,TRAIL,USD,25.21
2026-01-10,2,3,TRAIL,USD,176.11
2026-01-10,3,2,TRAIL,USD,437.29
2026-01-11,1,1,TRAIL,USD,264.31
2026-01-11,1,2,TRAIL,USD,151.54
2026-01-11,1,3,TRAIL,USD,353.57
2026-01-11,2,1,TRAIL,USD,26.67
2026-01-11,3,1,TRAIL,USD,64.81
2026-01-11,3,2,TRAIL,USD,330.87
2026-01-11,3,3,TRAIL,USD,33.05
2026-01-12,1,1,TRAIL,USD,99.04
2026-01-12,1,2,TRAIL,USD,267.87
2026-01-12,1,3,TRAIL,USD,176.67
2026-01-12,2,1,TRAIL,USD,11.59
2026-01-12,2,2,TRAIL,USD,93.85
2026-01-12,2,3,TRAIL,USD,254.49
2026-01-12,3,1,TRAIL,USD,39.65
2026-01-12,3,2,TRAIL,USD,138.8
2026-01-12,3,3,TRAIL,USD,159.86
2026-01-13,1,1,TRAIL,USD,221.73
2026-01-13,1,2,TRAIL,USD,64.54
2026-01-13,1,3,TRAIL,USD,203.22
2026-01-13,2,1,TRAIL,USD,79.93
2026-01-13,2,2,TRAIL,USD,115.8
2026-01-13,3,1,TRAIL,USD,226.8
2026-01-13,3,2,TRAIL,USD,195.25
2026-01-13,3,3,TRAIL,USD,62.33
2026-01-14,1,1,TRAIL,USD,76.47
2026-01-14,1,2,TRAIL,USD,49.89
2026-01-14,1,3,TRAIL,USD,66.63
2026-01-14,2,1,TRAIL,USD,212.91
2026-01-14,2,2,TRAIL,USD,126.36
2026-01-14,3,1,TRAIL,USD,292.5
2026-01-14,3,2,TRAIL,USD,34.85
2026-01-14,3,3,TRAIL,USD,77.88
2026-01-15,1,1,TRAIL,USD,220.94
2026-01-15,1,2,TRAIL,USD,101.26
2026-01-15,1,3,TRAIL,USD,112.13
2026-01-15,2,1,TRAIL,USD,221.41
2026-01-15,2,2,TRAIL,USD,19.69
2026-01-15,2,3,TRAIL,USD,102.39
2026-01-15,3,1,TRAIL,USD,117.17
2026-01-15,3,2,TRAIL,USD,159.06
2026-01-15,3,3,TRAIL,USD,147.07
2026-01-16,1,3,TRAIL,USD,271.17
2026-01-16,2,1,TRAIL,USD,212.81
2026-01-16,2,3,TRAIL,USD,113.01
2026-01-16,3,2,TRAIL,USD,222.94
2026-01-17,1,1,TRAIL,USD,158.89
2026-01-17,1,2,TRAIL,USD,79.05
2026-01-17,1,3,TRAIL,USD,76.58
2026-01-17,2,1,TRAIL,USD,156.14
