trade_date,fund_id,transaction_type,currency_code,transaction_count,net_amount
2026-01-01,1,REDEMPTION,USD,1,-11723.22
2026-01-01,2,REDEMPTION,USD,1,-48031.77
2026-01-01,2,SUBSCRIPTION,USD,1,10757.37
2026-01-01,3,REDEMPTION,USD,4,-79709.46
2026-01-01,3,SUBSCRIPTION,USD,4,107218.3
2026-01-02,1,REDEMPTION,USD,2,-49609.73
2026-01-02,1,SUBSCRIPTION,USD,2,44372.55
2026-01-02,2,SUBSCRIPTION,USD,3,86211.35
2026-01-02,3,REDEMPTION,USD,1,-27760.48
2026-01-02,3,SUBSCRIPTION,USD,3,15100.6
2026-01-03,1,REDEMPTION,USD,3,-36483.63
2026-01-03,1,SUBSCRIPTION,USD,3,79546.88
2026-01-03,2,REDEMPTION,USD,1,-6171.4
2026-01-03,2,SUBSCRIPTION,USD,1,33741.24
2026-01-03,3,REDEMPTION,USD,5,-143152.62
2026-01-03,3,SUBSCRIPTION,USD,5,114142.05
2026-01-04,1,REDEMPTION,USD,4,-106632.08
2026-01-04,1,SUBSCRIPTION,USD,4,63070.58
2026-01-04,2,SUBSCRIPTION,USD,2,5118.46
2026-01-04,3,REDEMPTION,USD,1,-30709.56
2026-01-04,3,SUBSCRIPTION,USD,3,111828.51
2026-01-05,1,REDEMPTION,USD,2,-47317.54
2026-01-05,1,SUBSCRIPTION,USD,2,61412.63
2026-01-05,2,REDEMPTION,USD,1,-24030.51
2026-01-05,2,SUBSCRIPTION,USD,1,2267.38
2026-01-05,3,REDEMPTION,USD,1,-29236.1
2026-01-05,3,SUBSCRIPTION,USD,4,134341.33
2026-01-06,1,SUBSCRIPTION,USD,3,48309.0
2026-01-06,2,REDEMPTION,USD,6,-222105.81
2026-01-06,2,SUBSCRIPTION,USD,3,104085.81
2026-01-06,3,REDEMPTION,USD,3,-51968.7
2026-01-06,3,SUBSCRIPTION,USD,3,57556.31
2026-01-07,1,REDEMPTION,USD,3,-91958.75
2026-01-07,1,SUBSCRIPTION,USD,2,62260.14
2026-01-07,2,REDEMPTION,USD,3,-95756.26
2026-01-07,2,SUBSCRIPTION,USD,4,46561.93
2026-01-07,3,REDEMPTION,USD,2,-39991.0
2026-01-07,3,SUBSCRIPTION,USD,4,77735.94
2026-01-08,1,REDEMPTION,USD,2,-44134.16
2026-01-08,1,SUBSCRIPTION,USD,4,106231.31
2026-01-08,2,REDEMPTION,USD,4,-118290.16
2026-01-08,2,SUBSCRIPTION,USD,2,34462.31
2026-01-08,3,REDEMPTION,USD,2,-84792.67
2026-01-08,3,SUBSCRIPTION,USD,2,32090.46
2026-01-09,1,REDEMPTION,USD,2,-57230.97
2026-01-09,1,SUBSCRIPTION,USD,2,51480.61
2026-01-09,2,SUBSCRIPTION,USD,1,14003.01
2026-01-09,3,REDEMPTION,USD,1,-3980.44
2026-01-09,3,SUBSCRIPTION,USD,4,97463.34
2026-01-10,1,REDEMPTION,USD,2,-54186.98
2026-01-10,1,SUBSCRIPTION,USD,2,74978.54
2026-01-10,2,REDEMPTION,USD,1,-47115.36
2026-01-10,2,SUBSCRIPTION,USD,5,112682.47
2026-01-10,3,REDEMPTION,USD,1,-14104.94
2026-01-10,3,SUBSCRIPTION,USD,3,98234.81
2026-01-11,1,REDEMPTION,USD,1,-6577.06
2026-01-11,1,SUBSCRIPTION,USD,4,94377.67
2026-01-11,2,REDEMPTION,USD,1,-3072.81
2026-01-11,2,SUBSCRIPTION,USD,4,114125.54
2026-01-11,3,SUBSCRIPTION,USD,4,96621.07
2026-01-12,1,SUBSCRIPTION,USD,3,52183.22
2026-01-12,2,REDEMPTION,USD,3,-60870.64
2026-01-12,2,SUBSCRIPTION,USD,4,105531.91
2026-01-12,3,REDEMPTION,USD,2,-52559.55
2026-01-12,3,SUBSCRIPTION,USD,6,122729.27
2026-01-13,1,REDEMPTION,USD,3,-74183.23
2026-01-13,1,SUBSCRIPTION,USD,1,45360.0
2026-01-13,2,SUBSCRIPTION,USD,4,99277.76
2026-01-13,3,REDEMPTION,USD,2,-53109.28
2026-01-14,1,REDEMPTION,USD,2,-53383.04
2026-01-14,1,SUBSCRIPTION,USD,4,97237.9
2026-01-14,2,REDEMPTION,USD,1,-42119.64
2026-01-14,2,SUBSCRIPTION,USD,2,26927.75
2026-01-14,3,SUBSCRIPTION,USD,2,57802.8
2026-01-15,1,REDEMPTION,USD,4,-79679.0
2026-01-15,1,SUBSCRIPTION,USD,3,100234.13
2026-01-15,2,REDEMPTION,USD,1,-25313.96
2026-01-15,2,SUBSCRIPTION,USD,2,44687.73
2026-01-15,3,REDEMPTION,USD,2,-27441.0
2026-01-15,3,SUBSCRIPTION,USD,3,81546.38
2026-01-16,1,SUBSCRIPTION,USD,3,54179.98
2026-01-16,2,REDEMPTION,USD,2,-52857.58
2026-01-16,3,REDEMPTION,USD,1,-49342.16
2026-01-16,3,SUBSCRIPTION,USD,3,91338.89
2026-01-17,1,REDEMPTION,USD,2,-23803.05
2026-01-17,1,SUBSCRIPTION,USD,5,80091.41
2026-01-17,2,REDEMPTION,USD,2,-50751.57
2026-01-17,2,SUBSCRIPTION,USD,3,35698.79
2026-01-17,3,REDEMPTION,USD,2,-52752.62
2026-01-17,3,SUBSCRIPTION,USD,4,114561.55
