valuation_date,investor_id,fund_id,currency_code,holding_units,nav_price,market_value
2026-01-01,1,1,USD,835.23893,55.1731,46082.72
2026-01-01,1,2,USD,32.178356,125.4681,4037.36
2026-01-01,1,3,USD,174.185029,68.0273,11849.34
2026-01-01,2,1,USD,1010.507652,215.9654,218234.69
2026-01-01,2,2,USD,646.299042,30.6625,19817.14
2026-01-01,2,3,USD,923.665376,45.5598,42082.01
2026-01-01,3,1,USD,506.25507,37.9501,19212.43
2026-01-01,3,2,USD,1082.898404,187.3075,202834.99
2026-01-01,3,3,USD,534.319138,126.4112,67543.92
2026-01-01,4,1,USD,23.553334,117.8839,2776.56
2026-01-01,4,2,USD,291.155579,80.7595,23513.58
2026-01-01,4,3,USD,995.340915,104.016,103531.38
2026-01-01,5,1,USD,400.620067,34.6392,13877.16
2026-01-01,5,2,USD,1017.155436,113.6291,115578.46
2026-01-01,5,3,USD,498.823087,128.9688,64332.61
2026-01-01,6,1,USD,694.393521,185.4589,128781.46
2026-01-01,6,2,USD,1198.831641,18.8841,22638.86
2026-01-01,6,3,USD,479.616447,133.2054,63887.5
2026-01-01,7,1,USD,869.537022,234.4674,203878.08
2026-01-01,7,2,USD,1086.087771,218.2322,237019.32
2026-01-01,7,3,USD,278.286943,24.5691,6837.26
2026-01-01,8,1,USD,22.823591,148.3368,3385.58
2026-01-01,8,2,USD,663.906822,74.2837,49317.46
2026-01-01,8,3,USD,777.960343,223.3937,173791.44
2026-01-01,9,1,USD,140.328889,159.4472,22375.05
2026-01-01,9,2,USD,775.415775,117.5981,91187.42
2026-01-01,9,3,USD,523.476005,48.72,25503.75
2026-01-01,10,1,USD,871.450962,122.6177,106855.31
2026-01-01,10,2,USD,525.732826,131.8326,69308.73
2026-01-01,10,3,USD,705.190452,174.3938,122980.84
2026-01-01,11,1,USD,1106.082716,214.8289,237618.53
2026-01-01,11,2,USD,858.238995,122.4321,105076.0
2026-01-01,11,3,USD,1059.808072,183.5188,194494.71
2026-01-01,12,1,USD,468.44548,110.0467,51550.88
2026-01-01,12,2,USD,1129.436389,166.6,188164.1
2026-01-01,12,3,USD,432.306681,123.358,53328.49
2026-01-01,13,1,USD,1165.129967,48.8862,56958.78
2026-01-01,13,2,USD,248.650309,175.7674,43704.62
2026-01-01,13,3,USD,103.430277,125.8935,13021.2
2026-01-01,14,1,USD,207.949324,47.5154,9880.8
2026-01-01,14,2,USD,590.622882,200.4358,118381.97
2026-01-01,14,3,USD,1131.665638,128.494,145412.24
2026-01-01,15,1,USD,281.662687,143.6393,40457.83
2026-01-01,15,2,USD,1199.113467,96.1088,115245.36
2026-01-01,15,3,USD,312.96961,172.4627,53975.58
2026-01-01,16,1,USD,209.657754,216.2708,45342.85
2026-01-01,16,2,USD,604.17468,203.6357,123031.53
2026-01-01,16,3,USD,405.281706,37.3526,15138.33
2026-01-01,17,1,USD,272.028307,144.8755,39410.24
2026-01-01,17,2,USD,583.638357,248.4791,145021.93
2026-01-01,17,3,USD,941.862965,194.6497,183333.34
2026-01-01,18,1,USD,924.113872,143.6854,132781.67
2026-01-01,18,2,USD,1075.581239,214.818,231054.21
2026-01-01,18,3,USD,1048.43481,155.0295,162538.32
2026-01-01,19,1,USD,124.970428,22.1013,2762.01
2026-01-01,19,2,USD,1135.521273,201.7569,229099.25
2026-01-01,19,3,USD,1155.176531,191.3834,221081.61
2026-01-01,20,1,USD,1169.591708,197.5966,231107.34
2026-01-01,20,2,USD,731.587018,216.013,158032.31
2026-01-01,20,3,USD,122.241647,144.9935,17724.24
2026-01-01,21,1,USD,608.766873,50.0911,30493.8
2026-01-01,21,2,USD,141.671221,59.2927,8400.07
2026-01-01,21,3,USD,433.966122,184.8038,80198.59
2026-01-01,22,1,USD,849.796034,192.8715,163901.44
2026-01-01,22,2,USD,598.069201,218.9183,130928.29
2026-01-01,22,3,USD,185.154879,97.2969,18015.0
2026-01-01,23,1,USD,982.992939,39.516,38843.95
2026-01-01,23,2,USD,242.268396,242.7128,58801.64
2026-01-01,23,3,USD,923.06316,11.581,10689.99
2026-01-01,24,1,USD,1001.776044,123.6792,123898.86
2026-01-01,24,2,USD,344.10996,51.1028,17584.98
2026-01-01,24,3,USD,319.218755,181.6479,57985.42
2026-01-01,25,1,USD,498.010329,161.0657,80212.38
2026-01-01,25,2,USD,294.541536,190.7695,56189.54
2026-01-01,25,3,USD,635.580329,198.9318,126437.14
2026-01-01,26,1,USD,165.593199,112.9175,18698.37
2026-01-01,26,2,USD,1101.624069,225.5357,248455.56
2026-01-01,26,3,USD,1142.208649,133.8773,152915.81
2026-01-01,27,1,USD,818.638367,236.4977,193606.09
2026-01-01,27,2,USD,531.094427,194.8364,103476.53
2026-01-01,27,3,USD,861.150883,134.1637,115535.19
2026-01-01,28,1,USD,83.497427,91.1929,7614.37
2026-01-01,28,2,USD,481.981042,195.3694,94164.35
2026-01-01,28,3,USD,520.886735,104.3839,54372.19
2026-01-01,29,1,USD,44.51248,231.4045,10300.39
2026-01-01,29,2,USD,181.14252,147.8937,26789.84
2026-01-01,29,3,USD,1173.279571,245.2113,287701.41
2026-01-01,30,1,USD,958.884919,220.1952,211141.86
2026-01-01,30,2,USD,1167.193377,110.6333,129130.46
2026-01-01,30,3,USD,1062.93942,178.1897,189404.86
2026-01-01,31,1,USD,1048.255637,183.1723,192011.4
2026-01-01,31,2,USD,376.434284,92.5978,34856.99
