transaction_id,investor_id,agent_id,fund_id,transaction_type,transaction_status,trade_date,settlement_date,units,price,gross_amount,fee_amount,net_amount,currency_code,created_at,updated_at
1,33,3,2,REDEMPTION,SETTLED,2026-01-01,2026-01-03,257.362642,186.6307,-48031.77,0,-48031.77,USD,2026-01-01T10:00:00,
2,19,1,3,SUBSCRIPTION,SETTLED,2026-01-01,2026-01-03,967.015602,32.4129,31343.78,0,31343.78,USD,2026-01-01T10:00:00,
3,44,1,2,SUBSCRIPTION,SETTLED,2026-01-01,2026-01-03,678.180695,15.8621,10757.37,0,10757.37,USD,2026-01-01T10:00:00,
4,31,2,3,REDEMPTION,SETTLED,2026-01-01,2026-01-03,41.735227,109.4658,-4568.58,0,-4568.58,USD,2026-01-01T10:00:00,
5,46,3,3,SUBSCRIPTION,SETTLED,2026-01-01,2026-01-03,453.199125,45.4171,20582.99,0,20582.99,USD,2026-01-01T10:00:00,
6,49,3,1,REDEMPTION,SETTLED,2026-01-01,2026-01-03,57.753721,202.9864,-11723.22,0,-11723.22,USD,2026-01-01T10:00:00,
7,4,3,3,SUBSCRIPTION,SETTLED,2026-01-01,2026-01-03,356.070223,119.5508,42568.48,0,42568.48,USD,2026-01-01T10:00:00,
8,43,2,3,REDEMPTION,SETTLED,2026-01-01,2026-01-03,126.789729,238.0095,-30177.16,0,-30177.16,USD,2026-01-01T10:00:00,
9,40,2,3,REDEMPTION,SETTLED,2026-01-01,2026-01-03,96.247624,227.6451,-21910.3,0,-21910.3,USD,2026-01-01T10:00:00,
10,11,2,3,REDEMPTION,SETTLED,2026-01-01,2026-01-03,121.062101,190.4264,-23053.42,0,-23053.42,USD,2026-01-01T10:00:00,
11,50,1,3,SUBSCRIPTION,SETTLED,2026-01-01,2026-01-03,110.090128,115.5694,12723.05,0,12723.05,USD,2026-01-01T10:00:00,
12,18,1,2,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,635.676629,43.2098,27467.46,0,27467.46,USD,2026-01-02T10:00:00,
13,25,1,3,SUBSCRIPTION,SETTLED,2026-01-02,2026-01-04,104.808508,109.5683,11483.69,0,11483.69,USD,2026-01-02T10:00:00,
