commission_id,transaction_id,agent_id,fund_id,commission_date,commission_type,commission_rate,commission_amount,currency_code,created_at
1,1,3,2,2026-01-01,TRAIL,0.0025,120.08,USD,2026-01-01T11:00:00
2,2,1,3,2026-01-01,TRAIL,0.003,94.03,USD,2026-01-01T11:00:00
3,3,1,2,2026-01-01,TRAIL,0.003,32.27,USD,2026-01-01T11:00:00
4,4,2,3,2026-01-01,TRAIL,0.003,13.71,USD,2026-01-01T11:00:00
5,5,3,3,2026-01-01,TRAIL,0.0025,51.46,USD,2026-01-01T11:00:00
6,6,3,1,2026-01-01,TRAIL,0.005,58.62,USD,2026-01-01T11:00:00
7,7,3,3,2026-01-01,TRAIL,0.005,212.84,USD,2026-01-01T11:00:00
8,8,2,3,2026-01-01,TRAIL,0.005,150.89,USD,2026-01-01T11:00:00
9,9,2,3,2026-01-01,TRAIL,0.005,109.55,USD,2026-01-01T11:00:00
10,10,2,3,2026-01-01,TRAIL,0.004,92.21,USD,2026-01-01T11:00:00
11,11,1,3,2026-01-01,TRAIL,0.004,50.89,USD,2026-01-01T11:00:00
12,12,1,2,2026-01-02,TRAIL,0.003,82.4,USD,2026-01-02T11:00:00
13,13,1,3,2026-01-02,TRAIL,0.004,45.93,USD,2026-01-02T11:00:00
14,14,2,2,2026-01-02,TRAIL,0.0025,27.84,USD,2026-01-02T11:00:00
15,15,3,3,2026-01-02,TRAIL,0.005,6.44,USD,2026-01-02T11:00:00
16,16,3,3,2026-01-02,TRAIL,0.003,83.28,USD,2026-01-02T11:00:00
17,17,2,1,2026-01-02,TRAIL,0.005,123.98,USD,2026-01-02T11:00:00
18,18,3,1,2026-01-02,TRAIL,0.0025,115.14,USD,2026-01-02T11:00:00
19,19,3,3,2026-01-02,TRAIL,0.003,6.98,USD,2026-01-02T11:00:00
20,20,2,1,2026-01-02,TRAIL,0.004,78.3,USD,2026-01-02T11:00:00
21,21,3,2,2026-01-02,TRAIL,0.0025,119.02,USD,2026-01-02T11:00:00
22,22,2,1,2026-01-02,TRAIL,0.003,10.66,USD,2026-01-02T11:00:00
23,23,1,3,2026-01-03,TRAIL,0.0025,6.3,USD,2026-01-03T11:00:00
24,24,2,1,2026-01-03,TRAIL,0.003,72.61,USD,2026-01-03T11:00:00
25,25,2,3,2026-01-03,TRAIL,0.0025,47.69,USD,2026-01-03T11:00:00
26,26,1,1,2026-01-03,TRAIL,0.004,25.19,USD,2026-01-03T11:00:00
27,27,1,3,2026-01-03,TRAIL,0.003,58.17,USD,2026-01-03T11:00:00
28,28,1,3,2026-01-03,TRAIL,0.004,126.94,USD,2026-01-03T11:00:00
29,29,1,3,2026-01-03,TRAIL,0.0025,100.04,USD,2026-01-03T11:00:00
30,30,3,3,2026-01-03,TRAIL,0.004,76.63,USD,2026-01-03T11:00:00
31,31,3,2,2026-01-03,TRAIL,0.005,30.86,USD,2026-01-03T11:00:00
32,32,3,1,2026-01-03,TRAIL,0.004,147.82,USD,2026-01-03T11:00:00
33,33,2,3,2026-01-03,TRAIL,0.004,95.12,USD,2026-01-03T11:00:00
