holding_id,investor_id,fund_id,valuation_date,units,nav_price,market_value,currency_code,created_at
1,1,1,2026-01-01,835.23893,55.1731,46082.72,USD,2026-01-01T18:30:00
2,1,2,2026-01-01,32.178356,125.4681,4037.36,USD,2026-01-01T18:30:00
3,1,3,2026-01-01,174.185029,68.0273,11849.34,USD,2026-01-01T18:30:00
4,2,1,2026-01-01,1010.507652,215.9654,218234.69,USD,2026-01-01T18:30:00
5,2,2,2026-01-01,646.299042,30.6625,19817.14,USD,2026-01-01T18:30:00
6,2,3,2026-01-01,923.665376,45.5598,42082.01,USD,2026-01-01T18:30:00
7,3,1,2026-01-01,506.25507,37.9501,19212.43,USD,2026-01-01T18:30:00
8,3,2,2026-01-01,1082.898404,187.3075,202834.99,USD,2026-01-01T18:30:00
9,3,3,2026-01-01,534.319138,126.4112,67543.92,USD,2026-01-01T18:30:00
10,4,1,2026-01-01,23.553334,117.8839,2776.56,USD,2026-01-01T18:30:00
11,4,2,2026-01-01,291.155579,80.7595,23513.58,USD,2026-01-01T18:30:00
12,4,3,2026-01-01,995.340915,104.016,103531.38,USD,2026-01-01T18:30:00
13,5,1,2026-01-01,400.620067,34.6392,13877.16,USD,2026-01-01T18:30:00
14,5,2,2026-01-01,1017.155436,113.6291,115578.46,USD,2026-01-01T18:30:00
15,5,3,2026-01-01,498.823087,128.9688,64332.61,USD,2026-01-01T18:30:00
16,6,1,2026-01-01,694.393521,185.4589,128781.46,USD,2026-01-01T18:30:00
17,6,2,2026-01-01,1198.831641,18.8841,22638.86,USD,2026-01-01T18:30:00
18,6,3,2026-01-01,479.616447,133.2054,63887.5,USD,2026-01-01T18:30:00
19,7,1,2026-01-01,869.537022,234.4674,203878.08,USD,2026-01-01T18:30:00
20,7,2,2026-01-01,1086.087771,218.2322,237019.32,USD,2026-01-01T18:30:00
21,7,3,2026-01-01,278.286943,24.5691,6837.26,USD,2026-01-01T18:30:00
22,8,1,2026-01-01,22.823591,148.3368,3385.58,USD,2026-01-01T18:30:00
23,8,2,2026-01-01,663.906822,74.2837,49317.46,USD,2026-01-01T18:30:00
24,8,3,2026-01-01,777.960343,223.3937,173791.44,USD,2026-01-01T18:30:00
25,9,1,2026-01-01,140.328889,159.4472,22375.05,USD,2026-01-01T18:30:00
26,9,2,2026-01-01,775.415775,117.5981,91187.42,USD,2026-01-01T18:30:00
27,9,3,2026-01-01,523.476005,48.72,25503.75,USD,2026-01-01T18:30:00
28,10,1,2026-01-01,871.450962,122.6177,106855.31,USD,2026-01-01T18:30:00
29,10,2,2026-01-01,525.732826,131.8326,69308.73,USD,2026-01-01T18:30:00
30,10,3,2026-01-01,705.190452,174.3938,122980.84,USD,2026-01-01T18:30:00
31,11,1,2026-01-01,1106.082716,214.8289,237618.53,USD,2026-01-01T18:30:00
32,11,2,2026-01-01,858.238995,122.4321,105076.0,USD,2026-01-01T18:30:00
33,11,3,2026-01-01,1059.808072,183.5188,194494.71,USD,2026-01-01T18:30:00
34,12,1,2026-01-01,468.44548,110.0467,51550.88,USD,2026-01-01T18:30:00
35,12,2,2026-01-01,1129.436389,166.6,188164.1,USD,2026-01-01T18:30:00
36,12,3,2026-01-01,432.306681,123.358,53328.49,USD,2026-01-01T18:30:00
37,13,1,2026-01-01,1165.129967,48.8862,56958.78,USD,2026-01-01T18:30:00
38,13,2,2026-01-01,248.650309,175.7674,43704.62,USD,2026-01-01T18:30:00
39,13,3,2026-01-01,103.430277,125.8935,13021.2,USD,2026-01-01T18:30:00
40,14,1,2026-01-01,207.949324,47.5154,9880.8,USD,2026-01-01T18:30:00
41,14,2,2026-01-01,590.622882,200.4358,118381.97,USD,2026-01-01T18:30:00
42,14,3,2026-01-01,1131.665638,128.494,145412.24,USD,2026-01-01T18:30:00
43,15,1,2026-01-01,281.662687,143.6393,40457.83,USD,2026-01-01T18:30:00
44,15,2,2026-01-01,1199.113467,96.1088,115245.36,USD,2026-01-01T18:30:00
45,15,3,2026-01-01,312.96961,172.4627,53975.58,USD,2026-01-01T18:30:00
46,16,1,2026-01-01,209.657754,216.2708,45342.85,USD,2026-01-01T18:30:00
47,16,2,2026-01-01,604.17468,203.6357,123031.53,USD,2026-01-01T18:30:00
48,16,3,2026-01-01,405.281706,37.3526,15138.33,USD,2026-01-01T18:30:00
49,17,1,2026-01-01,272.028307,144.8755,39410.24,USD,2026-01-01T18:30:00
50,17,2,2026-01-01,583.638357,248.4791,145021.93,USD,2026-01-01T18:30:00
51,17,3,2026-01-01,941.862965,194.6497,183333.34,USD,2026-01-01T18:30:00
52,18,1,2026-01-01,924.113872,143.6854,132781.67,USD,2026-01-01T18:30:00
53,18,2,2026-01-01,1075.581239,214.818,231054.21,USD,2026-01-01T18:30:00
54,18,3,2026-01-01,1048.43481,155.0295,162538.32,USD,2026-01-01T18:30:00
55,19,1,2026-01-01,124.970428,22.1013,2762.01,USD,2026-01-01T18:30:00
56,19,2,2026-01-01,1135.521273,201.7569,229099.25,USD,2026-01-01T18:30:00
57,19,3,2026-01-01,1155.176531,191.3834,221081.61,USD,2026-01-01T18:30:00
58,20,1,2026-01-01,1169.591708,197.5966,231107.34,USD,2026-01-01T18:30:00
59,20,2,2026-01-01,731.587018,216.013,158032.31,USD,2026-01-01T18:30:00
60,20,3,2026-01-01,122.241647,144.9935,17724.24,USD,2026-01-01T18:30:00
61,21,1,2026-01-01,608.766873,50.0911,30493.8,USD,2026-01-01T18:30:00
62,21,2,2026-01-01,141.671221,59.2927,8400.07,USD,2026-01-01T18:30:00
63,21,3,2026-01-01,433.966122,184.8038,80198.59,USD,2026-01-01T18:30:00
64,22,1,2026-01-01,849.796034,192.8715,163901.44,USD,2026-01-01T18:30:00
65,22,2,2026-01-01,598.069201,218.9183,130928.29,USD,2026-01-01T18:30:00
66,22,3,2026-01-01,185.154879,97.2969,18015.0,USD,2026-01-01T18:30:00
67,23,1,2026-01-01,982.992939,39.516,38843.95,USD,2026-01-01T18:30:00
68,23,2,2026-01-01,242.268396,242.7128,58801.64,USD,2026-01-01T18:30:00
69,23,3,2026-01-01,923.06316,11.581,10689.99,USD,2026-01-01T18:30:00
70,24,1,2026-01-01,1001.776044,123.6792,123898.86,USD,2026-01-01T18:30:00
71,24,2,2026-01-01,344.10996,51.1028,17584.98,USD,2026-01-01T18:30:00
72,24,3,2026-01-01,319.218755,181.6479,57985.42,USD,2026-01-01T18:30:00
73,25,1,2026-01-01,498.010329,161.0657,80212.38,USD,2026-01-01T18:30:00
74,25,2,2026-01-01,294.541536,190.7695,56189.54,USD,2026-01-01T18:30:00
75,25,3,2026-01-01,635.580329,198.9318,126437.14,USD,2026-01-01T18:30:00
76,26,1,2026-01-01,165.593199,112.9175,18698.37,USD,2026-01-01T18:30:00
77,26,2,2026-01-01,1101.624069,225.5357,248455.56,USD,2026-01-01T18:30:00
78,26,3,2026-01-01,1142.208649,133.8773,152915.81,USD,2026-01-01T18:30:00
79,27,1,2026-01-01,818.638367,236.4977,193606.09,USD,2026-01-01T18:30:00
80,27,2,2026-01-01,531.094427,194.8364,103476.53,USD,2026-01-01T18:30:00
81,27,3,2026-01-01,861.150883,134.1637,115535.19,USD,2026-01-01T18:30:00
82,28,1,2026-01-01,83.497427,91.1929,7614.37,USD,2026-01-01T18:30:00
83,28,2,2026-01-01,481.981042,195.3694,94164.35,USD,2026-01-01T18:30:00
84,28,3,2026-01-01,520.886735,104.3839,54372.19,USD,2026-01-01T18:30:00
85,29,1,2026-01-01,44.51248,231.4045,10300.39,USD,2026-01-01T18:30:00
86,29,2,2026-01-01,181.14252,147.8937,26789.84,USD,2026-01-01T18:30:00
87,29,3,2026-01-01,1173.279571,245.2113,287701.41,USD,2026-01-01T18:30:00
88,30,1,2026-01-01,958.884919,220.1952,211141.86,USD,2026-01-01T18:30:00
89,30,2,2026-01-01,1167.193377,110.6333,129130.46,USD,2026-01-01T18:30:00
90,30,3,2026-01-01,1062.93942,178.1897,189404.86,USD,2026-01-01T18:30:00
91,31,1,2026-01-01,1048.255637,183.1723,192011.4,USD,2026-01-01T18:30:00
92,31,2,2026-01-01,376.434284,92.5978,34856.99,USD,2026-01-01T18:30:00
93,31,3,2026-01-01,992.404267,226.05,224332.98,USD,2026-01-01T18:30:00
94,32,1,2026-01-01,732.481276,45.2468,33142.43,USD,2026-01-01T18:30:00
95,32,2,2026-01-01,484.725688,164.531,79752.4,USD,2026-01-01T18:30:00
96,32,3,2026-01-01,1065.09571,159.8463,170251.61,USD,2026-01-01T18:30:00
97,33,1,2026-01-01,741.824955,116.1145,86136.63,USD,2026-01-01T18:30:00
